z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023788345211611717, 2.49295292373229, 1.0344356193277813e-213, 324.62129673016591, 0.79722957347148171, 0.2835028962659823, 7.7012146182598499e-07, 1.2921178169675081e-06, 0.1502658997975343, 1.0033327838625422e-05, 0.00059596903203762831, 7.3741841022550997e-05, 1.2687386603698396e-05, 8.2967609534315412e-13, 7.2180045044035036e-14, 1.2343291573444244e-14, 1.6700386829365218e-14, 1.8263689739940622e-16, 1.4370884330190515e-10, 4.691425281925707e-11, 3.3459199251910419e-13, 9.1626452931549007e-13, 0.56553670991689708, 
0.023792099765835316, 2.5209699757551438, 1.034435628551259e-213, 328.69158553745535, 0.78837020003307012, 0.28241852694387432, 1.3247164227780193e-06, 1.6002313255893242e-06, 0.15041158542178584, 1.3410888538008612e-05, 0.00074701695930595518, 9.3084598711813029e-05, 1.5879915664014133e-05, 1.0072646164295127e-12, 8.9623274073808406e-14, 1.4306097314669951e-14, 2.1379310105766003e-14, 3.6321774996516605e-16, 1.8780452974968729e-10, 6.0275334057007225e-11, 4.6229225608575238e-13, 1.1837984626743142e-12, 0.56629757007351278, 
0.023795854320058915, 2.553962366950707, 1.0344356088484859e-213, 333.45303933490936, 0.77818649996841216, 0.28123998877991391, 2.2754328090373272e-06, 1.9991911152256342e-06, 0.15055415605270245, 1.8064523481401397e-05, 0.00093621720247004912, 0.00011698987526954128, 1.9780580397354716e-05, 1.2255310574686026e-12, 1.1141540611721205e-13, 1.6635461304835931e-14, 2.7318659117847119e-14, 7.354474832484172e-16, 2.4621601406583214e-10, 7.6872644384889882e-11, 6.3946846179804286e-13, 1.5308011238496135e-12, 0.56711052803520046, 
0.023797731597170715, 2.5725956154057701, 1.0344355968979562e-213, 336.13084256592595, 0.77255030828873861, 0.28061071270506865, 3.0019197445093587e-06, 2.2456782811424462e-06, 0.15062303483086001, 2.1078450947800264e-05, 0.001048772136594635, 0.00013091454939124977, 2.2036593426681151e-05, 1.3541024440456614e-12, 1.2442160833084587e-13, 1.7967293324873393e-14, 3.0893121624363472e-14, 1.0621448412353126e-15, 2.8268588862713178e-10, 8.6542351002974631e-11, 7.5392813839064515e-13, 1.7432289499422557e-12, 0.5675382027624315, 
0.023799608874282514, 2.5928147398074906, 1.0344355846943771e-213, 339.02803037320336, 0.76652600657307113, 0.27995511093707931, 3.9454005385524107e-06, 2.5296742822011159e-06, 0.15068911332621299, 2.4653518116221306e-05, 0.0011750440049465003, 0.00014625955140207012, 2.4514598807400613e-05, 1.4975480169217278e-12, 1.3904710562052113e-13, 1.9421768266603269e-14, 3.4937058758615625e-14, 1.5367347860195528e-15, 3.2503796802597147e-10, 9.720130119704646e-11, 8.9012894951715741e-13, 1.9864616495407428e-12, 0.56797882856180648, 
0.023801486151394314, 2.6147232200907649, 1.034435561520574e-213, 342.15877184013129, 0.76010342827217792, 0.27927257909750813, 5.1669640080870476e-06, 2.8574400714575339e-06, 0.15075166536881943, 2.8894738059394028e-05, 0.0013164284921786901, 0.00016305320161239448, 2.7222334493081031e-05, 1.6576579548030974e-12, 1.5550271148616613e-13, 2.1009172478897177e-14, 3.9505357435805447e-14, 2.2282357321406842e-15, 3.7418994154202195e-10, 1.0885600840321351e-10, 1.0519341275310363e-12, 2.2645105385612965e-12, 0.56843213187501096, 
0.023803363428506114, 2.63842593321553, 1.0344355380921386e-213, 345.53740060767024, 0.75327491797625756, 0.27856257603569518, 6.7423007824892787e-06, 3.2362798930061334e-06, 0.15080991273925631, 3.392482637313152e-05, 0.0014744041306153936, 0.0001812935209521786, 3.0164666364552623e-05, 1.8364748329910277e-12, 1.7403216867593329e-13, 2.27405536614163e-14, 4.4657990495620668e-14, 3.2379595212396097e-15, 4.3119068627187931e-10, 1.2148461593518131e-10, 1.2438238492907426e-12, 2.5817842428307602e-12, 0.56889774494148582, 
0.023805240705617913, 2.6640272919942141, 1.034435507134533e-213, 349.17825642809294, 0.74603582089900544, 0.27782458931191373, 8.7644835205524197e-06, 3.6746731571679684e-06, 0.15086303762683126, 3.9885845495096348e-05, 0.0016505247580243813, 0.00020094133146901895, 3.3343030436076811e-05, 2.0363410817123962e-12, 1.9491906011747581e-13, 2.4627769461082717e-14, 5.0460250321206925e-14, 4.7146600879409783e-15, 4.9723413541159532e-10, 1.3503062591788737e-10, 1.4709773406156137e-12, 2.9430914522894495e-12, 0.56937523830016268, 
0.023807117982729713, 2.6916304866421115, 1.0344354762131406e-213, 353.09549909275336, 0.73838488842165373, 0.27705817832401741, 1.1347010011099808e-05, 4.1824040466411324e-06, 0.15091018434590575, 4.6940412016236024e-05, 0.0018464090583161458, 0.00022191380158399502, 3.6754945739539241e-05, 2.2599577446885092e-12, 2.184955391521296e-13, 2.6683562937513572e-14, 5.6982975571360646e-14, 6.876528023968626e-15, 5.7367284167109166e-10, 1.4939701884685166e-10, 1.7393623098413548e-12, 3.3536308845467825e-12, 0.5698640889676313, 
0.023808995259841512, 2.7213352657164438, 1.0344353231711517e-213, 357.3028953814628, 0.73032472409962412, 0.27626294246149663, 1.4627056462461048e-05, 4.770680173985078e-06, 0.15095047385295049, 5.5272185887287525e-05, 0.002063727011501587, 0.00024407905869637561, 4.0393645183851153e-05, 2.5104568999893484e-12, 2.4515330974701758e-13, 2.8921632922484187e-14, 6.4302742713472876e-14, 1.0043041393188643e-14, 6.6203066482431015e-10, 1.644414280776277e-10, 2.0558322050814462e-12, 3.8189649786535127e-12, 0.57036371321244161, 
